year,informed_consent,sex,age,campus,modalidad,regime,career,field_OCDE,school,faculty,semester_admision,years_of_study,current_level,com_grade_point_average,A1,A2,A3,A4,E1,E2,E3,E4,E5,E6,C1,C2,C3,C4,C5,unders_and_accept_inst,unders_items,satisfac_instrument
2021,Sí,Femenino,36,PROVIDENCIA,Presencial,DIURNO,ENFERMERÍA,Medical and Health Sciences,ENFERMERÍA,FAC. DE SALUD Y CS. SOCIALES,202120,1,Primer año,59,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4
2021,Sí,Masculino,33,SANTIAGO CENTRO,Presencial,VESPERTINO,PEDAGOGÍA EN EDUCACIÓN BÁSICA,Social Sciences,EDUCACIÓN BÁSICA,FAC. DE EDUCACIÓN,202010,2,Segundo año,64,6,6,5,4,6,6,6,6,6,6,6,4,5,4,6,4,4,4
2021,Sí,Femenino,28,PROVIDENCIA,Presencial,EXECUTIVE,TÉCNICO DE NIVEL SUPERIOR EN ADMINISTRACIÓN DE EMPRESAS,Social Sciences,NEGOCIOS,FAC. DE INGENIERÍA Y NEGOCIOS,202010,2,Segundo año,64,6,4,5,6,6,5,6,6,6,5,3,3,3,3,3,4,4,4
2021,Sí,Femenino,18,SANTIAGO CENTRO,Presencial,DIURNO,TÉCNICO DE NIVEL SUPERIOR EN ENFERMERÍA,Medical and Health Sciences,TÉC.DE NIVEL SUP.EN ENFERMERÍA,FAC. DE SALUD Y CS. SOCIALES,202110,1,Primer año,0,6,2,2,5,6,6,6,4,6,6,6,6,6,6,6,4,3,4
2021,Sí,Masculino,43,CONCEPCION,Presencial,EXECUTIVE,INGENIERÍA DE EJECUCIÓN INDUSTRIAL,Engineering and Technology,INGENIERÍA,FAC. DE INGENIERÍA Y NEGOCIOS,201910,3,Tercer año o superior,6,5,4,5,5,4,4,4,4,4,5,4,5,5,5,5,3,3,3
2021,Sí,Femenino,30,SANTIAGO CENTRO,Presencial,DIURNO,MEDICINA VETERINARÍA,Medical and Health Sciences,MEDICINA VETERINARIA,FAC. DE MED. VETER. Y AGRONOM.,202010,2,Segundo año,0,6,3,6,6,6,6,6,6,6,6,6,6,6,6,6,3,3,3
2021,Sí,Femenino,36,ONLINE,A distancia,A DISTANCIA,CONTADOR AUDITOR,Social Sciences,AUDITORÍA,FAC. DE INGENIERÍA Y NEGOCIOS,200520,17,Tercer año o superior,62,2,6,3,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4
2021,Sí,Masculino,29,PROVIDENCIA,Presencial,VESPERTINO,TERAPIA OCUPACIONAL,Medical and Health Sciences,TERAPIA OCUPACIONAL,FAC. DE SALUD Y CS. SOCIALES,202110,1,Primer año,56,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4
2021,Sí,Masculino,41,ONLINE,A distancia,A DISTANCIA,INGENIERÍA CIVIL INDUSTRIAL,Engineering and Technology,INGENIERÍA,FAC. DE INGENIERÍA Y NEGOCIOS,202120,1,Primer año,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3
2021,Sí,Masculino,30,SANTIAGO CENTRO,Presencial,EXECUTIVE,INGENIERÍA EN PREVENCIÓN DE RIESGOS Y MEDIO AMBIENTE,Engineering and Technology,BIOTECNOLOGÍA Y MEDIO AMBIENTE,FAC. DE INGENIERÍA Y NEGOCIOS,202110,1,Primer año,62,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4
2021,Sí,Masculino,52,ONLINE,A distancia,A DISTANCIA,TÉCNICO DE NIVEL SUPERIOR EN ADMINISTRACIÓN DE EMPRESAS,Social Sciences,NEGOCIOS,FAC. DE INGENIERÍA Y NEGOCIOS,202120,1,Primer año,0,6,5,6,6,5,5,6,6,6,4,6,6,5,6,6,4,3,4
2021,Sí,Masculino,32,CONCEPCION,Presencial,DIURNO,MEDICINA VETERINARÍA,Medical and Health Sciences,MEDICINA VETERINARIA,FAC. DE MED. VETER. Y AGRONOM.,202110,1,Primer año,64,6,4,5,5,4,4,4,5,5,5,6,6,6,4,6,3,4,3
2021,Sí,Femenino,29,PROVIDENCIA,Presencial,EXECUTIVE,CONSTRUCCIÓN CIVIL,Engineering and Technology,CONSTRUCCIÓN,FAC. DE ARQ.ANIN.DIS. Y CONST.,202020,2,Segundo año,59,4,1,2,1,1,1,1,1,1,1,5,5,5,3,1,3,3,3
2021,Sí,Femenino,39,ONLINE,A distancia,A DISTANCIA,INGENIERÍA DE EJECUCIÓN EN ADMINISTRACIÓN DE EMPRESAS,Social Sciences,INGENIERÍA COMERCIAL,FAC. DE INGENIERÍA Y NEGOCIOS,202120,1,Primer año,53,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4
2021,Sí,Masculino,39,ONLINE,A distancia,A DISTANCIA,INGENIERÍA CIVIL INDUSTRIAL,Engineering and Technology,INGENIERÍA,FAC. DE INGENIERÍA Y NEGOCIOS,202110,1,Primer año,42,6,3,5,5,4,5,5,4,4,5,6,6,6,5,5,2,3,2
2021,Sí,Femenino,22,PROVIDENCIA,Presencial,DIURNO,ENFERMERÍA,Medical and Health Sciences,ENFERMERÍA,FAC. DE SALUD Y CS. SOCIALES,201910,3,Tercer año o superior,58,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4
2021,Sí,Masculino,45,ONLINE,A distancia,A DISTANCIA,INGENIERÍA CIVIL INDUSTRIAL,Engineering and Technology,INGENIERÍA,FAC. DE INGENIERÍA Y NEGOCIOS,202020,2,Segundo año,59,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4
2021,Sí,Femenino,22,SANTIAGO CENTRO,Presencial,DIURNO,PEDAGOGÍA EN EDUCACIÓN BÁSICA,Social Sciences,EDUCACIÓN BÁSICA,FAC. DE EDUCACIÓN,202110,1,Primer año,0,4,1,3,1,6,5,5,5,5,5,6,6,6,6,6,3,4,4
2021,Sí,Masculino,43,ONLINE,A distancia,A DISTANCIA,INGENIERÍA CIVIL INDUSTRIAL,Engineering and Technology,INGENIERÍA,FAC. DE INGENIERÍA Y NEGOCIOS,202110,1,Primer año,65,3,5,1,1,5,6,6,6,5,4,4,6,6,5,6,3,3,3
2021,Sí,Femenino,39,ONLINE,A distancia,A DISTANCIA,TÉCNICO DE NIVEL SUPERIOR EN ADMINISTRACIÓN DE EMPRESAS,Social Sciences,NEGOCIOS,FAC. DE INGENIERÍA Y NEGOCIOS,202120,1,Primer año,0,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,4,4,4
2021,Sí,Femenino,26,CONCEPCION,Presencial,DIURNO,PEDAGOGÍA EN EDUCACIÓN DIFERENCIAL,Social Sciences,EDUCACIÓN DIFERENCIAL,FAC. DE EDUCACIÓN,202110,1,Primer año,0,6,6,6,6,6,5,6,5,5,5,5,5,5,5,5,3,3,3
2021,Sí,Femenino,35,SANTIAGO CENTRO,Presencial,DIURNO,INGENIERÍA CIVIL INDUSTRIAL,Engineering and Technology,INGENIERÍA,FAC. DE INGENIERÍA Y NEGOCIOS,201210,10,Tercer año o superior,5,6,6,6,4,6,6,6,6,6,5,6,6,6,6,6,4,4,4
2021,Sí,Femenino,32,MAIPU,Presencial,DIURNO,MEDICINA VETERINARÍA,Medical and Health Sciences,MEDICINA VETERINARIA,FAC. DE MED. VETER. Y AGRONOM.,202110,1,Primer año,32,1,1,1,1,1,1,1,1,1,1,6,3,1,1,1,1,2,1
2021,Sí,Masculino,44,VIÑA DEL MAR,Presencial,EXECUTIVE,INGENIERÍA EN MINAS,Engineering and Technology,INGENIERÍA EN MINAS,FAC. DE INGENIERÍA Y NEGOCIOS,202010,2,Segundo año,57,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4
2021,Sí,Masculino,34,SANTIAGO CENTRO,Presencial,DIURNO,PERIODISMO,Social Sciences,PERIODISMO Y COMUNICACIONES,FAC. DE COMUNICACIONES Y ARTES,201910,3,Tercer año o superior,61,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4
2021,Sí,Femenino,41,ONLINE,A distancia,A DISTANCIA,INGENIERÍA CIVIL INDUSTRIAL,Engineering and Technology,INGENIERÍA,FAC. DE INGENIERÍA Y NEGOCIOS,202120,1,Primer año,55,2,1,2,2,3,3,2,2,2,2,4,3,3,3,3,2,2,2
2021,Sí,Femenino,29,SANTIAGO CENTRO,Presencial,DIURNO,ENFERMERÍA,Medical and Health Sciences,ENFERMERÍA,FAC. DE SALUD Y CS. SOCIALES,202110,1,Primer año,59,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4
2021,Sí,Femenino,48,ONLINE,A distancia,A DISTANCIA,INGENIERÍA CIVIL INDUSTRIAL,Engineering and Technology,INGENIERÍA,FAC. DE INGENIERÍA Y NEGOCIOS,202120,1,Primer año,62,1,4,2,6,4,5,5,3,1,5,6,5,1,1,1,4,4,2
2021,Sí,Masculino,38,ONLINE,A distancia,A DISTANCIA,CONTADOR AUDITOR,Social Sciences,AUDITORÍA,FAC. DE INGENIERÍA Y NEGOCIOS,202120,1,Primer año,49,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3
2021,Sí,Masculino,38,ONLINE,A distancia,A DISTANCIA,INGENIERÍA CIVIL INDUSTRIAL,Engineering and Technology,INGENIERÍA,FAC. DE INGENIERÍA Y NEGOCIOS,202120,1,Primer año,59,6,6,5,5,4,4,4,5,5,5,6,6,6,5,5,3,3,3
2021,Sí,Masculino,43,ONLINE,A distancia,A DISTANCIA,INGENIERÍA CIVIL INDUSTRIAL,Engineering and Technology,INGENIERÍA,FAC. DE INGENIERÍA Y NEGOCIOS,202110,1,Primer año,58,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4
2021,Sí,Femenino,68,PROVIDENCIA,Presencial,EXECUTIVE,INGENIERÍA CIVIL INDUSTRIAL,Engineering and Technology,INGENIERÍA,FAC. DE INGENIERÍA Y NEGOCIOS,201820,4,Tercer año o superior,57,6,6,6,6,6,6,6,6,6,3,6,6,6,6,6,4,4,4
2021,Sí,Masculino,44,ONLINE,A distancia,A DISTANCIA,INGENIERÍA DE EJECUCIÓN EN ADMINISTRACIÓN DE EMPRESAS,Social Sciences,INGENIERÍA COMERCIAL,FAC. DE INGENIERÍA Y NEGOCIOS,202110,1,Primer año,59,3,3,2,2,3,4,4,4,4,2,3,3,3,3,3,4,4,4
2021,Sí,Femenino,34,VIÑA DEL MAR,Presencial,DIURNO,ENFERMERÍA,Medical and Health Sciences,ENFERMERÍA,FAC. DE SALUD Y CS. SOCIALES,202110,1,Primer año,66,6,3,5,5,6,5,6,5,5,4,6,6,6,4,5,4,4,4
2021,Sí,Femenino,45,ONLINE,A distancia,A DISTANCIA,TÉCNICO DE NIVEL SUPERIOR EN ADMINISTRACIÓN DE EMPRESAS,Social Sciences,NEGOCIOS,FAC. DE INGENIERÍA Y NEGOCIOS,202010,2,Segundo año,6,5,4,5,4,4,4,4,4,4,5,4,4,4,4,4,2,2,2
2021,Sí,Masculino,32,ONLINE,A distancia,A DISTANCIA,INGENIERÍA CIVIL INDUSTRIAL,Engineering and Technology,INGENIERÍA,FAC. DE INGENIERÍA Y NEGOCIOS,202120,1,Primer año,64,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4
2021,Sí,Femenino,39,ONLINE,A distancia,A DISTANCIA,INGENIERÍA DE EJECUCIÓN EN ADMINISTRACIÓN DE EMPRESAS,Social Sciences,INGENIERÍA COMERCIAL,FAC. DE INGENIERÍA Y NEGOCIOS,202120,1,Primer año,62,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2021,Sí,Femenino,23,VIÑA DEL MAR,Presencial,DIURNO,INGENIERÍA COMERCIAL,Engineering and Technology,INGENIERÍA COMERCIAL,FAC. DE INGENIERÍA Y NEGOCIOS,201710,5,Tercer año o superior,57,5,5,6,5,5,5,6,6,5,4,6,6,6,6,6,3,4,3
2021,Sí,Femenino,30,MAIPU,Presencial,DIURNO,ENFERMERÍA,Medical and Health Sciences,ENFERMERÍA,FAC. DE SALUD Y CS. SOCIALES,202110,1,Primer año,61,6,6,6,6,6,6,6,5,6,6,5,6,6,6,6,4,4,4
2021,Sí,Masculino,21,PROVIDENCIA,Presencial,DIURNO,TÉC.NIV.SUP. AGROVITIC. Y ENOL,Agricultural Sciences,AGRONOMÍA,FAC. DE MED. VETER. Y AGRONOM.,202010,2,Segundo año,61,3,2,5,4,2,5,4,5,6,3,5,5,5,5,5,4,4,4
2021,Sí,Femenino,54,VIÑA DEL MAR,Presencial,DIURNO,TÉCNICO DE NIVEL SUPERIOR EN ENFERMERÍA,Medical and Health Sciences,TÉC.DE NIVEL SUP.EN ENFERMERÍA,FAC. DE SALUD Y CS. SOCIALES,202110,1,Primer año,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021,Sí,Femenino,36,PROVIDENCIA,Presencial,VESPERTINO,TERAPIA OCUPACIONAL,Medical and Health Sciences,TERAPIA OCUPACIONAL,FAC. DE SALUD Y CS. SOCIALES,202110,1,Primer año,64,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4
2021,Sí,Femenino,19,SANTIAGO CENTRO,Presencial,DIURNO,MEDICINA VETERINARÍA,Medical and Health Sciences,MEDICINA VETERINARIA,FAC. DE MED. VETER. Y AGRONOM.,202110,1,Primer año,57,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4
2021,Sí,Masculino,45,SANTIAGO CENTRO,Presencial,EXECUTIVE,INGENIERÍA COMERCIAL,Engineering and Technology,INGENIERÍA COMERCIAL,FAC. DE INGENIERÍA Y NEGOCIOS,202120,1,Primer año,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4
2021,Sí,Femenino,21,PROVIDENCIA,Presencial,DIURNO,INGENIERÍA COMERCIAL,Engineering and Technology,INGENIERÍA COMERCIAL,FAC. DE INGENIERÍA Y NEGOCIOS,202110,1,Primer año,56,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4
2021,Sí,Masculino,33,VIÑA DEL MAR,Presencial,DIURNO,NUTRICIÓN Y DIETÉTICA,Medical and Health Sciences,NUTRICIÓN Y DIETÉTICA,FAC. DE SALUD Y CS. SOCIALES,202110,1,Primer año,57,6,4,6,6,6,6,6,5,6,6,6,6,6,6,6,4,4,4
2021,Sí,Femenino,26,ONLINE,A distancia,A DISTANCIA,INGENIERÍA CIVIL INDUSTRIAL,Engineering and Technology,INGENIERÍA,FAC. DE INGENIERÍA Y NEGOCIOS,202120,1,Primer año,63,6,6,4,6,5,5,5,5,5,5,6,6,6,4,6,4,3,4
2021,Sí,Masculino,25,ONLINE,A distancia,A DISTANCIA,INGENIERÍA CIVIL INDUSTRIAL,Engineering and Technology,INGENIERÍA,FAC. DE INGENIERÍA Y NEGOCIOS,202110,1,Primer año,64,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4
2021,Sí,Femenino,20,SANTIAGO CENTRO,Presencial,DIURNO,PSICOLOGÍA,Social Sciences,PSICOLOGÍA,FAC. DE SALUD Y CS. SOCIALES,202110,1,Primer año,59,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2021,Sí,Masculino,38,CONCEPCION,Presencial,DIURNO,ENFERMERÍA,Medical and Health Sciences,ENFERMERÍA,FAC. DE SALUD Y CS. SOCIALES,202110,1,Primer año,63,6,6,6,6,6,6,5,6,3,6,6,6,6,6,6,4,3,3
2021,Sí,Femenino,29,ONLINE,A distancia,A DISTANCIA,TÉCNICO DE NIVEL SUPERIOR EN ADMINISTRACIÓN DE EMPRESAS,Social Sciences,NEGOCIOS,FAC. DE INGENIERÍA Y NEGOCIOS,202120,1,Primer año,59,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021,Sí,Masculino,42,ONLINE,A distancia,A DISTANCIA,INGENIERÍA CIVIL INDUSTRIAL,Engineering and Technology,INGENIERÍA,FAC. DE INGENIERÍA Y NEGOCIOS,202110,1,Primer año,66,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4
2021,Sí,Femenino,44,SANTIAGO CENTRO,Presencial,DIURNO,CONTADOR AUDITOR,Social Sciences,AUDITORÍA,FAC. DE INGENIERÍA Y NEGOCIOS,202110,1,Primer año,0,6,6,6,4,4,3,3,1,1,6,6,3,3,3,6,2,2,2
2021,Sí,Femenino,31,MAIPU,Presencial,DIURNO,ENFERMERÍA,Medical and Health Sciences,ENFERMERÍA,FAC. DE SALUD Y CS. SOCIALES,201310,9,Tercer año o superior,54,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4
2021,Sí,Femenino,35,ONLINE,A distancia,A DISTANCIA,TÉCNICO DE NIVEL SUPERIOR EN ADMINISTRACIÓN DE EMPRESAS,Social Sciences,NEGOCIOS,FAC. DE INGENIERÍA Y NEGOCIOS,202120,1,Primer año,65,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4
2021,Sí,Masculino,47,ONLINE,A distancia,A DISTANCIA,INGENIERÍA CIVIL INDUSTRIAL,Engineering and Technology,INGENIERÍA,FAC. DE INGENIERÍA Y NEGOCIOS,202120,1,Primer año,63,5,4,4,6,3,3,4,3,4,1,5,4,3,2,5,2,2,2
2021,Sí,Femenino,34,ONLINE,A distancia,A DISTANCIA,INGENIERÍA DE EJECUCIÓN EN ADMINISTRACIÓN DE EMPRESAS,Social Sciences,INGENIERÍA COMERCIAL,FAC. DE INGENIERÍA Y NEGOCIOS,202110,1,Primer año,0,5,2,5,5,4,4,4,2,2,3,5,5,5,2,2,4,4,4
2021,Sí,Masculino,35,ONLINE,A distancia,A DISTANCIA,INGENIERÍA CIVIL INDUSTRIAL,Engineering and Technology,INGENIERÍA,FAC. DE INGENIERÍA Y NEGOCIOS,202110,1,Primer año,64,6,5,5,5,6,6,6,6,5,5,6,6,6,6,6,3,3,3
2021,Sí,Femenino,21,PROVIDENCIA,Presencial,DIURNO,ARQUITECTURA,Engineering and Technology,ARQUITECTURA,FAC. DE ARQ.ANIN.DIS. Y CONST.,201910,3,Tercer año o superior,52,6,5,6,5,5,6,5,5,5,5,6,6,6,6,6,4,4,4
2021,Sí,Masculino,34,ONLINE,A distancia,A DISTANCIA,INGENIERÍA DE EJECUCIÓN EN ADMINISTRACIÓN DE EMPRESAS,Social Sciences,INGENIERÍA COMERCIAL,FAC. DE INGENIERÍA Y NEGOCIOS,202110,1,Primer año,59,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4
2021,Sí,Femenino,46,SANTIAGO CENTRO,Presencial,EXECUTIVE,MEDICINA VETERINARÍA,Medical and Health Sciences,MEDICINA VETERINARIA,FAC. DE MED. VETER. Y AGRONOM.,202110,1,Primer año,43,6,6,6,6,5,5,5,5,6,6,6,6,6,6,6,4,4,4
2021,Sí,Femenino,41,ONLINE,A distancia,A DISTANCIA,CONTADOR AUDITOR,Social Sciences,AUDITORÍA,FAC. DE INGENIERÍA Y NEGOCIOS,202120,1,Primer año,66,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,4,4,4
